ds,Population
2035-11-01,8947605349.561884
2035-12-01,8953708138.992332
2036-01-01,8960014354.737131
2036-02-01,8966320570.481928
2036-03-01,8972219933.598028
2036-04-01,8978526149.342825
2036-05-01,8984628938.773275
2036-06-01,8990935154.518072
2036-07-01,8997037943.94852
2036-08-01,9003344159.69332
2036-09-01,9009650375.438116
2036-10-01,9015753164.868565
2036-11-01,9022059380.613363
2036-12-01,9028162170.043812
2037-01-01,9034468385.788609
2037-02-01,9040774601.533407
2037-03-01,9046470538.33516
2037-04-01,9052776754.079956
2037-05-01,9058879543.510405
2037-06-01,9065185759.255203
2037-07-01,9071288548.685652
2037-08-01,9077594764.430449
2037-09-01,9083900980.175247
2037-10-01,9090003769.605696
2037-11-01,9096309985.350492
2037-12-01,9102412774.780943
2038-01-01,9108718990.52574
2038-02-01,9115025206.270536
2038-03-01,9120721143.072289
2038-04-01,9127027358.817087
2038-05-01,9133130148.247536
2038-06-01,9139436363.992332
2038-07-01,9145539153.422783
2038-08-01,9151845369.16758
2038-09-01,9158151584.912376
2038-10-01,9164254374.342825
2038-11-01,9170560590.087624
2038-12-01,9176663379.518072
2039-01-01,9182969595.262869
2039-02-01,9189275811.007668
2039-03-01,9194971747.80942
2039-04-01,9201277963.554216
2039-05-01,9207380752.984667
2039-06-01,9213686968.729464
2039-07-01,9219789758.159912
2039-08-01,9226095973.904709
2039-09-01,9232402189.649508
2039-10-01,9238504979.079956
2039-11-01,9244811194.824753
2039-12-01,9250913984.255203
2040-01-01,9257220200.0
2040-02-01,9263159764.358063
2040-03-01,9268716131.015604
2040-04-01,9274655695.373665
2040-05-01,9280403660.881468
2040-06-01,9286343225.239529
2040-07-01,9292091190.747332
2040-08-01,9298030755.105392
2040-09-01,9303970319.463455
2040-10-01,9309718284.971256
2040-11-01,9315657849.329319
2040-12-01,9321405814.83712
2041-01-01,9327345379.195183
2041-02-01,9333284943.553244
2041-03-01,9338649711.360525
2041-04-01,9344589275.718588
2041-05-01,9350337241.226389
2041-06-01,9356276805.584452
2041-07-01,9362024771.092253
2041-08-01,9367964335.450315
2041-09-01,9373903899.808376
2041-10-01,9379651865.31618
2041-11-01,9385591429.67424
2041-12-01,9391339395.182043
2042-01-01,9397278959.540104
2042-02-01,9403218523.898167
2042-03-01,9408583291.705448
2042-04-01,9414522856.063509
2042-05-01,9420270821.571312
2042-06-01,9426210385.929373
2042-07-01,9431958351.437176
2042-08-01,9437897915.795237
2042-09-01,9443837480.1533
2042-10-01,9449585445.6611
2042-11-01,9455525010.019163
2042-12-01,9461272975.526964
2043-01-01,9467212539.885027
2043-02-01,9473152104.243088
2043-03-01,9478516872.05037
2043-04-01,9484456436.408432
2043-05-01,9490204401.916233
2043-06-01,9496143966.274296
2043-07-01,9501891931.782097
2043-08-01,9507831496.14016
2043-09-01,9513771060.49822
2043-10-01,9519519026.006021
2043-11-01,9525458590.364084
2043-12-01,9531206555.871885
2044-01-01,9537146120.229948
2044-02-01,9543085684.58801
2044-03-01,9548642051.245552
2044-04-01,9554581615.603613
2044-05-01,9560329581.111416
2044-06-01,9566269145.469477
2044-07-01,9572017110.97728
2044-08-01,9577956675.33534
2044-09-01,9583896239.693403
2044-10-01,9589644205.201204
2044-11-01,9595583769.559267
2044-12-01,9601331735.067068
2045-01-01,9607271299.42513
2045-02-01,9613210863.783192
2045-03-01,9618575631.590473
2045-04-01,9624515195.948536
2045-05-01,9630263161.456337
2045-06-01,9636202725.8144
2045-07-01,9641950691.3222
2045-08-01,9647890255.680264
2045-09-01,9653829820.038324
2045-10-01,9659577785.546127
2045-11-01,9665517349.904188
2045-12-01,9671265315.41199
2046-01-01,9677204879.770052
2046-02-01,9683144444.128115
2046-03-01,9688509211.935396
2046-04-01,9694448776.293457
2046-05-01,9700196741.80126
2046-06-01,9706136306.15932
2046-07-01,9711884271.667124
2046-08-01,9717823836.025185
2046-09-01,9723763400.383247
2046-10-01,9729511365.891048
2046-11-01,9735450930.249111
2046-12-01,9741198895.756912
2047-01-01,9747138460.114973
2047-02-01,9753078024.473036
2047-03-01,9758442792.280317
2047-04-01,9764382356.63838
2047-05-01,9770130322.146181
2047-06-01,9776069886.504244
2047-07-01,9781817852.012045
2047-08-01,9787757416.370108
2047-09-01,9793696980.728168
2047-10-01,9799444946.23597
2047-11-01,9805384510.594032
2047-12-01,9811132476.101833
2048-01-01,9817072040.459896
2048-02-01,9823011604.817957
2048-03-01,9828567971.4755
2048-04-01,9834507535.83356
2048-05-01,9840255501.341364
2048-06-01,9846195065.699425
2048-07-01,9851943031.207228
2048-08-01,9857882595.565289
2048-09-01,9863822159.923351
2048-10-01,9869570125.431152
2048-11-01,9875509689.789215
2048-12-01,9881257655.297016
2049-01-01,9887197219.655079
2049-02-01,9893136784.01314
2049-03-01,9898501551.820421
2049-04-01,9904441116.178484
2049-05-01,9910189081.686285
2049-06-01,9916128646.044348
2049-07-01,9921876611.552149
