ds,Consumption
2028-08-01,196804.02261479272
2028-09-01,197075.68818328236
2028-10-01,197338.59034633683
2028-11-01,197610.25591482644
2028-12-01,197873.15807788094
2029-01-01,198144.82364637055
2029-02-01,198416.4892148602
2029-03-01,198661.86456704437
2029-04-01,198933.53013553398
2029-05-01,199196.43229858845
2029-06-01,199468.0978670781
2029-07-01,199731.00003013256
2029-08-01,200002.66559862217
2029-09-01,200274.3311671118
2029-10-01,200537.2333301663
2029-11-01,200808.8988986559
2029-12-01,201071.80106171037
2030-01-01,201343.4666302
2030-02-01,201552.47346042105
2030-03-01,201741.25382320132
2030-04-01,201950.26065342236
2030-05-01,202152.5253278298
2030-06-01,202361.53215805083
2030-07-01,202563.7968324583
2030-08-01,202772.8036626793
2030-09-01,202981.81049290035
2030-10-01,203184.07516730778
2030-11-01,203393.08199752882
2030-12-01,203595.34667193628
2031-01-01,203804.3535021573
2031-02-01,204013.36033237833
2031-03-01,204202.1406951586
2031-04-01,204411.14752537964
2031-05-01,204613.4121997871
2031-06-01,204822.4190300081
2031-07-01,205024.68370441557
2031-08-01,205233.69053463658
2031-09-01,205442.69736485762
2031-10-01,205644.96203926505
2031-11-01,205853.9688694861
2031-12-01,206056.23354389356
2032-01-01,206265.24037411457
2032-02-01,206474.2472043356
2032-03-01,206669.76972292946
2032-04-01,206878.7765531505
2032-05-01,207081.04122755796
2032-06-01,207290.04805777897
2032-07-01,207492.31273218643
2032-08-01,207701.31956240744
2032-09-01,207910.32639262849
2032-10-01,208112.59106703594
2032-11-01,208321.59789725696
2032-12-01,208523.86257166442
2033-01-01,208732.86940188543
2033-02-01,208941.87623210647
2033-03-01,209130.65659488676
2033-04-01,209339.66342510778
2033-05-01,209541.92809951524
2033-06-01,209750.93492973625
2033-07-01,209953.1996041437
2033-08-01,210162.20643436472
2033-09-01,210371.21326458576
2033-10-01,210573.47793899322
2033-11-01,210782.48476921424
2033-12-01,210984.7494436217
2034-01-01,211193.7562738427
2034-02-01,211402.76310406375
2034-03-01,211591.54346684404
2034-04-01,211800.55029706506
2034-05-01,212002.81497147252
2034-06-01,212211.82180169353
2034-07-01,212414.086476101
2034-08-01,212623.09330632203
2034-09-01,212832.10013654304
2034-10-01,213034.3648109505
2034-11-01,213243.3716411715
2034-12-01,213445.63631557897
2035-01-01,213654.64314580002
2035-02-01,213863.64997602103
2035-03-01,214052.43033880132
2035-04-01,214261.43716902233
2035-05-01,214463.7018434298
2035-06-01,214672.70867365084
2035-07-01,214874.97334805827
2035-08-01,215083.9801782793
2035-09-01,215292.98700850032
2035-10-01,215495.25168290778
